alpha;1;2;3;4;5;6;7;8;9;10;11;12;13
1;1509;618;535;574075;4642;17062;528;314;319863041;66;84;87;87
2;1917;731;611;899925;5064;53526;575;318;319154969;69;89;95;95
3;1324;562;438;432133;5486;25983;521;305;320367107;94;118;124;125
4;1732;694;587;761421;5908;62447;538;312;319467014;74;101;110;110
5;1140;467;367;324691;6330;34904;617;296;324839607;58;77;82;82
6;1547;626;491;593818;6752;7361;596;314;319331010;72;90;94;94
7;1955;752;653;969109;7174;43825;631;303;322015309;75;94;98;99
8;1363;501;442;466098;7596;16282;576;326;323035426;67;91;93;94
9;1771;681;598;762803;8018;52746;620;310;319959095;72;95;101;102
10;1178;468;395;341033;8440;25203;541;304;319827086;56;80;80;80
11;1586;606;575;631383;8862;61667;606;297;319887098;63;91;96;97
12;1994;789;635;985620;9284;34124;544;313;319179026;62;86;97;97
13;1401;525;441;480037;9706;6581;545;298;315398618;76;92;95;95
14;1809;724;600;815498;10128;43045;577;316;318210931;69;83;91;92
15;1217;484;388;378499;10550;15502;565;318;319295055;78;98;103;104
16;1625;693;562;667338;10972;51966;504;304;319803116;65;83;90;91
17;1032;418;353;272660;11394;24423;527;316;319799121;61;80;84;85
18;1440;568;492;517341;11816;60887;551;318;319987147;64;90;95;96
19;1848;741;621;873759;12238;33344;597;304;320175173;59;83;83;84
20;1255;519;423;397102;12660;5801;619;300;325163724;65;90;98;98
21;1663;660;582;693176;13082;42265;569;320;321447323;98;119;128;128
22;1071;433;331;278932;13504;14722;596;317;318178971;71;95;101;101
23;1478;625;477;552421;13926;51186;607;299;319903165;74;101;106;106
24;1886;746;591;908258;14348;23643;631;299;323099520;62;90;96;97
25;1294;509;397;431725;14770;60107;613;308;319255105;69;91;93;93
26;1702;688;604;719705;15192;32564;592;317;323411565;73;94;101;102
27;1109;430;353;303278;15614;5021;585;314;323087535;57;87;90;90
28;1517;642;484;572045;16036;41485;632;310;321035316;72;95;98;98
29;1925;713;652;913428;16458;13942;623;294;323783622;67;92;98;100
30;1332;538;432;443463;16880;50406;524;305;320259242;70;95;102;102
31;1740;715;589;757312;17302;22863;520;311;319935212;69;97;103;105
32;1148;450;348;327852;17724;59327;601;303;319867210;87;109;114;114
33;1556;599;491;596319;18146;31784;539;285;318903110;76;99;104;104
34;1963;774;655;962174;18568;4241;556;314;319795213;72;93;102;102
35;1371;549;468;479483;18990;40705;608;314;317871008;80;104;111;112
36;1779;703;590;802537;19412;13162;547;292;315818789;65;87;88;88
37;1186;477;443;359483;19834;49626;617;302;320231277;66;88;95;95
38;1594;632;513;636144;20256;22083;596;306;317218953;75;104;111;111
39;1002;408;351;245841;20678;58547;632;304;322143497;74;101;109;109
40;1410;540;448;501215;21100;31004;575;319;318555110;71;100;105;105
41;1817;727;631;835789;21522;3461;587;318;318423101;61;87;89;89
42;1225;488;399;368312;21944;39925;518;307;319699246;57;91;97;97
43;1633;656;552;658938;22366;12382;579;328;321487447;61;80;86;86
44;1040;430;351;272753;22788;48846;543;314;319435228;60;74;75;75
45;1448;544;444;532777;23210;21303;614;310;319623254;68;85;88;88
46;1856;724;629;864220;23632;57767;569;319;320067308;66;91;92;93
47;1264;507;413;404377;24054;30224;574;317;321919516;62;80;84;84
48;1671;663;545;671737;24476;2681;600;305;319739283;69;98;103;103
49;1079;446;350;282597;24898;39145;609;311;319031211;57;80;87;87
50;1487;640;523;558515;25320;11602;621;298;324723839;62;88;96;96
51;1894;742;628;889519;25742;48066;588;314;322671620;64;86;95;95
52;1302;516;444;412707;26164;20523;582;316;322027555;64;83;86;87
53;1710;677;562;734265;26586;56987;544;293;315174811;69;92;97;97
54;1117;462;369;305177;27008;29444;603;318;318051131;75;96;98;98
55;1525;629;529;583118;27430;1901;598;314;317343059;67;86;93;94
56;1933;792;643;949614;27852;38365;597;305;319515302;79;94;95;95
57;1341;531;447;444901;28274;10822;586;318;320215384;60;97;104;105
58;1748;720;609;788023;28696;47286;621;297;324435851;89;117;124;124
59;1156;474;369;347258;29118;19743;630;306;322511646;71;101;105;108
60;1564;626;507;601238;29540;56207;625;315;320075385;72;93;98;99
61;1971;802;638;965553;29962;28664;594;317;323271740;72;98;104;104
62;1379;566;444;491698;30384;1121;593;311;322371647;72;103;104;105
63;1787;740;597;797613;30806;37585;513;307;319679358;72;89;95;96
64;1195;500;393;348209;31228;10042;587;314;322235643;68;87;94;95
