alpha;1;2;3;4;5;6
1;1.478;1.480;1.479;1.221;6.890;0.637
2;4.644;4.650;4.647;2.983;201.147;2.466
3;9.739;9.755;9.747;5.464;2.992;7.447
4;16.805;16.833;16.819;8.897;41.807;0.754
5;25.852;25.897;25.874;13.581;14.594;31.226
6;36.887;36.953;36.920;19.902;13.469;2.020
7;49.913;50.004;49.958;28.353;177.526;8.824
8;64.931;65.052;64.992;39.567;6.702;6.481
9;81.944;82.098;82.021;54.354;70.847;1.397
10;100.952;101.142;101.047;73.743;10.266;21.017
11;121.956;122.187;122.071;99.046;21.718;1.880
12;144.955;145.231;145.093;131.930;149.053;18.433
13;169.950;170.276;170.113;174.506;7.840;5.941
14;196.942;197.321;197.131;229.453;68.753;1.448
15;225.931;226.366;226.149;300.156;14.359;25.640
16;256.917;257.413;257.165;390.893;14.128;2.502
17;289.899;290.461;290.180;507.059;138.874;3.208
18;324.879;325.509;325.194;655.460;6.435;14.548
19;361.856;362.559;362.208;844.661;19.665;1.633
20;400.830;401.611;401.221;1085.439;170.677;5.284
21;441.802;442.663;442.233;1391.338;5.164;13.195
22;484.771;485.718;485.244;1779.365;16.039;1.554
23;529.738;530.773;530.256;2270.862;137.824;2.031
24;576.702;577.830;577.266;2892.585;6.307;22.295
25;625.664;626.889;626.276;3678.055;7.041;2.633
26;676.623;677.949;677.286;4669.240;49.705;0.665
27;729.580;731.011;730.296;5918.650;162.199;28.536
28;784.535;786.075;785.305;7491.940;2.708;10.966
29;841.487;843.140;842.314;9471.156;7.543;1.537
30;900.437;902.207;901.322;11958.766;47.353;0.441
31;961.385;963.276;962.330;15082.672;243.173;9.923
32;1024.330;1026.346;1025.338;19002.443;2.325;19.927
33;1089.273;1091.419;1090.346;23917.050;2.394;3.262
34;1156.214;1158.492;1157.353;30074.485;10.036;0.616
35;1225.153;1227.568;1226.361;37783.685;50.611;0.234
36;1296.090;1298.646;1297.368;47429.346;238.909;2.286
37;1369.024;1371.725;1370.375;59490.292;4.409;39.692
38;1443.956;1446.806;1445.381;74562.266;0.722;8.900
39;1520.886;1523.889;1522.388;93386.181;1.382;2.039
40;1599.814;1602.974;1601.394;116883.147;4.320;0.506
41;1680.740;1684.061;1682.400;146197.870;14.515;0.151
42;1763.663;1767.149;1765.406;182752.426;47.791;0.075
43;1848.585;1852.240;1850.412;228312.862;150.452;0.156
44;1935.504;1939.332;1937.418;285071.666;362.200;13.442
45;2024.421;2028.426;2026.424;355749.863;2.545;52.050
