alpha;1;2;3;4;5;6;7;8
1;2.006;1.954;2.229;2.086;(0.052, 0.223, 0.08);[101 301];53.745;7.194
2;2.837;2.685;3.059;2.864;(0.152, 0.222, 0.027);[102 302];53.919;8.241
3;3.475;3.271;3.726;3.489;(0.204, 0.251, 0.014);[103 303];54.113;9.295
4;4.012;3.770;4.294;4.021;(0.242, 0.282, 0.009);[104 304];54.325;10.355
5;4.486;4.211;4.797;4.491;(0.274, 0.311, 0.006);[105 305];54.554;11.420
6;4.914;4.611;5.252;4.918;(0.303, 0.338, 0.004);[106 306];54.798;12.489
7;5.308;4.979;5.671;5.310;(0.328, 0.364, 0.003);[107 307];55.056;13.561
8;5.674;5.322;6.062;5.676;(0.352, 0.388, 0.002);[108 308];55.327;14.637
9;6.018;5.644;6.429;6.019;(0.374, 0.41, 0.001);[109 309];55.611;15.716
10;6.344;5.949;6.776;6.344;(0.395, 0.432, 0.001);[110 310];55.907;16.798
11;6.653;6.239;7.106;6.654;(0.414, 0.452, 0.0);[111 311];56.213;17.882
12;6.949;6.516;7.421;6.949;(0.433, 0.472, 0.0);[112 312];56.530;18.968
13;7.233;6.782;7.724;7.233;(0.451, 0.491, 0.0);[113 313];56.857;20.056
14;7.506;7.038;8.015;7.505;(0.468, 0.509, 0.001);[114 314];57.193;21.146
15;7.769;7.284;8.297;7.769;(0.485, 0.527, 0.001);[115 315];57.539;22.237
16;8.024;7.523;8.568;8.023;(0.501, 0.544, 0.001);[116 316];57.893;23.330
17;8.271;7.755;8.832;8.270;(0.517, 0.561, 0.001);[117 317];58.256;24.424
18;8.511;7.979;9.088;8.510;(0.532, 0.577, 0.001);[118 318];58.627;25.519
19;8.744;8.198;9.337;8.743;(0.546, 0.593, 0.002);[119 319];59.005;26.616
20;8.971;8.411;9.579;8.970;(0.561, 0.608, 0.002);[120 320];59.391;27.714
21;9.193;8.618;9.816;9.191;(0.575, 0.623, 0.002);[121 321];59.785;28.812
22;9.409;8.821;10.047;9.407;(0.588, 0.637, 0.002);[122 322];60.185;29.912
