alpha;1;2;3;4;5;6;7;8;9;10
1;494.71853;0.39698;7;492987609.84978;17;1028;528;1;2374;5
2;509.28744;0.91376;6;493232196.58698;27;1074;656;1;3721;9
3;521.26994;2.26783;5;493432562.16042;38;1074;441;14;4978;11
4;532.17919;2.73813;5;493614374.24087;8;1010;533;1;1189;3
5;542.49296;2.72761;5;493785745.24864;16;1069;661;1;2440;5
6;552.42614;2.41687;4;493950329.81408;29;1069;431;14;3631;9
7;562.09460;1.90284;4;494110103.20014;37;1066;538;1;4816;11
8;571.56832;1.24372;4;494266261.37354;7;1064;666;1;1255;3
9;580.89297;0.47725;4;494419587.32503;18;1064;421;14;2380;5
10;590.10010;2.62931;4;494570623.87429;28;1071;543;1;3733;9
11;599.21248;1.71840;4;494719764.18171;36;1059;671;1;4748;11
12;608.24709;0.75821;4;494867303.03101;9;1059;383;4;1225;3
13;617.21698;2.75915;4;495013467.72280;17;1048;548;1;2554;5
14;626.13238;1.72928;4;495158437.62623;27;1054;676;1;3461;9
15;635.00148;0.67500;4;495302357.06451;38;1077;452;4;5033;11
16;643.83095;2.60143;4;495445344.10051;8;1030;553;1;1210;3
17;652.62627;1.51275;3;495587496.70231;16;1049;602;1;2497;5
18;661.39203;0.41238;3;495728897.17878;29;1072;442;4;3766;9
19;670.13209;2.30318;3;495869615.44052;37;1058;558;1;4761;11
20;678.84975;1.18755;3;496009711.44288;7;1044;607;1;1234;3
21;687.54783;0.06749;3;496149237.04739;18;1044;432;4;2437;5
22;696.22876;1.94472;3;496288237.46135;28;1063;563;1;3598;9
23;704.89468;0.82070;3;496426752.36621;36;1067;612;1;4803;11
24;713.54744;2.69670;3;496564816.81287;9;1039;422;4;1204;3
25;722.18868;1.57378;3;496702461.93976;17;1068;568;1;2497;5
26;730.81984;0.45290;3;496839715.55462;27;1062;617;1;3596;9
27;739.44221;2.33486;3;496976602.61028;38;1057;412;4;4693;11
28;748.05695;1.22038;3;497113145.59679;8;1050;573;1;1310;3
29;756.66506;0.11007;3;497249364.86735;16;1029;622;1;2317;5
30;765.26748;2.00448;3;497385278.91102;29;1052;402;4;3506;9
31;773.86504;0.90408;3;497520904.58249;37;1078;578;1;5101;11
32;782.45849;2.80928;3;497656257.29674;7;1024;627;1;1292;3
33;791.04850;1.72046;3;497791351.19512;18;1075;420;14;2573;5
34;799.63570;0.63793;3;497926199.28754;28;1060;504;1;3542;9
35;808.22064;2.56198;3;498060813.57508;36;1070;632;1;4937;11
36;816.80385;1.49285;3;498195205.15597;9;1019;382;4;1262;3
37;825.38579;0.43077;3;498329384.31782;17;1065;509;1;2361;5
38;833.96689;2.37592;3;498463360.61803;27;1065;637;1;3652;9
39;842.54754;1.32847;3;498597142.95431;38;1065;423;24;4827;11
40;851.12811;0.28857;3;498730739.62669;8;1070;514;1;1252;3
41;859.70893;2.25635;3;498864158.39226;16;1060;642;1;2453;5
42;868.29030;1.23191;3;498997406.51358;29;1060;413;24;3562;9
43;876.87252;0.21535;3;499130490.80180;37;1075;519;1;4967;11
44;885.45583;2.20675;3;499263417.65495;7;1004;647;1;1192;3
45;894.04049;1.20619;3;499396193.09228;18;1055;380;14;2393;5
46;902.62672;0.21372;3;499528822.78493;28;1052;524;1;3486;9
47;911.21472;2.22940;3;499661312.08349;36;1078;652;1;5071;11
48;919.80469;1.25326;3;499793666.04292;9;1078;421;4;1320;3
49;928.39680;0.28533;3;499925889.44490;17;1029;529;1;2383;5
50;936.99123;2.32564;3;500057986.81814;27;1073;657;1;3708;9
51;945.58812;1.37422;3;500189962.45676;38;1073;439;14;4961;11
52;954.18762;0.43107;3;500321820.43703;8;1011;534;1;1194;3
53;962.78986;2.49620;3;500453564.63254;16;1068;662;1;2431;5
54;971.39497;1.56962;3;500585198.72809;29;1068;429;14;3618;9
55;980.00306;0.65133;3;500716726.23237;37;1067;539;1;4833;11
56;988.61423;2.74131;3;500848150.48954;7;1063;667;1;1250;3
57;997.22860;1.83957;3;500979474.68990;18;1063;419;14;2371;5
58;1005.84625;0.94608;3;501110701.87962;28;1072;544;1;3746;9
59;1014.46726;0.06084;3;501241834.96975;36;1058;672;1;4731;11
60;1023.09172;2.18383;3;501372876.74451;9;1058;381;4;1220;3
61;1031.71971;1.31502;3;501503829.86890;17;1049;549;1;2563;5
62;1040.35130;0.45441;3;501634696.89576;27;1053;677;1;3448;9
63;1048.98654;2.60195;3;501765480.27232;38;1076;450;4;5016;11
64;1057.62550;1.75764;3;501896182.34622;8;1031;554;1;1215;3
65;1066.26825;0.92143;3;502026805.37112;16;1048;603;1;2488;5
66;1074.91482;0.09331;3;502157351.51194;29;1071;440;4;3753;9
67;1083.56527;2.27324;3;502287822.84965;37;1059;559;1;4778;11
68;1092.21965;1.46119;3;502418221.38585;7;1043;608;1;1229;3
69;1100.87799;0.65714;3;502548549.04688;18;1043;430;4;2428;5
70;1109.54035;2.86104;3;502678807.68783;28;1064;564;1;3611;9
71;1118.20674;2.07286;3;502808999.09612;36;1066;613;1;4786;11
72;1126.87722;1.29258;3;502939124.99500;9;1038;420;4;1199;3
73;1135.55180;0.52014;3;503069187.04668;17;1069;569;1;2506;5
74;1144.23052;2.75553;3;503199186.85538;27;1061;618;1;3583;9
75;1152.91340;1.99870;3;503329125.97011;38;1056;410;4;4676;11
76;1161.60048;1.24962;3;503459005.88733;8;1051;574;1;1315;3
77;1170.29176;0.50825;3;503588828.05341;16;1028;623;1;2466;5
78;1178.98728;2.77455;3;503718593.86698;29;1051;451;24;3651;9
79;1187.68705;2.04849;3;503848304.68113;37;1056;500;1;4881;11
80;1196.39109;1.33002;3;503977961.80541;7;1023;628;1;1287;3
81;1205.09941;0.61912;3;504107566.50787;18;1074;418;14;2564;5
82;1213.81203;2.91573;3;504237120.01682;28;1061;505;1;3555;9
83;1222.52897;2.21984;3;504366623.52260;36;1069;633;1;4920;11
84;1231.25022;1.53138;3;504496078.17919;9;1018;380;4;1257;3
85;1239.97582;0.85034;3;504625485.10579;17;1066;510;1;2370;5
86;1248.70575;0.17666;3;504754845.38824;27;1064;638;1;3639;9
87;1257.44003;2.51032;2;504884160.08045;38;1064;421;24;4810;11
88;1266.17868;1.85127;2;505013430.20566;8;1071;515;1;1257;3
89;1274.92168;1.19948;2;505142656.75773;16;1059;643;1;2444;5
90;1283.66906;0.55490;2;505271840.70228;29;1059;411;24;3549;9
91;1292.42081;2.91751;2;505400982.97783;37;1076;520;1;4984;11
92;1301.17694;2.28725;2;505530084.49687;7;1003;648;1;1187;3
93;1309.93744;1.66410;2;505659146.14683;18;1054;378;14;2384;5
94;1318.70233;1.04802;2;505788168.79109;28;1053;525;1;3499;9
95;1327.47159;0.43897;2;505917153.26983;36;1077;653;1;5054;11
96;1336.24524;2.83691;2;506046100.40096;9;1077;419;4;1315;3
97;1345.02328;2.24180;2;506175010.98091;17;1030;530;1;2392;5
98;1353.80569;1.65362;2;506303885.78543;27;1072;658;1;3695;9
