alpha;Q1;Q2;$Q3 : a^{max}_x$;$Q3 : a^{max}_y$;$Q3 : a^{max}_z$;$Q6 : v^{max}_x$;$Q6 : v^{max}_y$;$Q6 : v^{max}_z$;$Q7 : v^{moy}_x$;$Q7 : v^{moy}_y$;$Q7 : v^{moy}_z$;$Q8 : a^{max}_x$;$Q8 : a^{max}_y$;$Q8 : a^{max}_z$;$Q9 : v^{max}_x$;$Q9 : v^{max}_y$;$Q9 : v^{max}_z$;$Q11 : x^{max}$;$Q11 : y^{max}$;$Q11 : z^{max}$
1;2170;5.827;7.098;6.902;16.471;2325.804;1015.176;19394.784;1.378;0.608;8.911;5.720;6.294;7.560;172.794;127.707;67.338;8316.732;0;65079.968
2;1447;3.885;6.902;6.549;17.569;1324.510;451.882;12705.373;1.108;0.407;8.798;5.794;6.142;8.770;158.730;115.602;9.763;26108.471;0;0
3;1085;2.914;7.020;6.431;16.392;1074.902;420.608;9605.902;1.030;0.384;8.870;5.990;6.047;7.522;164.693;140.527;7.502;45551.152;20048.119;0.035
4;868;2.332;7.137;6.392;13.647;865.255;338.431;7679.490;0.996;0.383;8.859;6.141;6.009;4.788;142.071;113.629;12.768;38483.988;13310.497;0.047
5;4340;11.675;6.745;17.569;7.059;1343.745;38120.451;3977.686;0.245;8.739;1.187;6.500;8.830;5.871;681.251;202.542;386.121;853914.435;406669.086;87028.716
6;2170;5.838;6.902;16.471;7.098;1015.176;19394.784;2325.804;0.611;8.910;1.379;6.291;7.560;5.719;124.199;68.345;172.109;0;66632.614;8059.831
7;1447;3.892;6.471;17.490;6.824;345.706;12591.961;1211.098;0.343;8.722;1.033;6.127;8.769;5.791;105.612;8.329;157.666;0;0;25356.804
8;1085;2.919;6.314;16.275;6.902;293.078;9478.373;947.373;0.266;8.753;0.913;6.048;7.522;5.989;140.732;7.203;164.391;20154.085;0.034;45266.851
9;868;2.328;6.431;13.686;7.176;372.431;7713.490;899.255;0.423;8.898;1.035;6.009;4.788;6.141;113.492;12.816;142.076;13187.471;0.047;38491.864
10;4340;11.658;17.608;7.098;6.784;38290.608;4147.843;1513.902;8.779;1.226;0.284;8.829;5.872;6.500;199.981;386.277;682.182;401108.449;87244.360;858093.609
11;2170;5.830;16.353;6.980;6.784;19139.608;2070.627;760.000;8.793;1.260;0.490;7.560;5.720;6.294;67.338;172.794;127.707;65079.968;8316.732;0
12;1447;3.886;17.686;7.020;6.667;12875.490;1494.627;622.000;8.916;1.227;0.533;8.770;5.792;6.134;9.493;158.250;110.282;0;25769.049;0
13;1085;2.915;16.275;6.902;6.314;9478.373;947.373;293.078;8.752;0.912;0.266;7.522;5.990;6.047;7.369;164.535;140.505;0.035;45401.691;20036.882
14;868;2.333;13.490;6.980;6.235;7543.490;729.255;208.608;8.702;0.839;0.226;4.788;6.141;6.009;12.821;142.054;113.634;0.047;38456.280;13314.991
15;4340;11.680;7.216;6.902;17.725;4658.314;2024.373;38801.078;1.344;0.402;8.896;5.871;6.500;8.830;386.121;681.251;202.542;87028.716;853914.435;406669.086
16;2170;5.841;6.941;6.745;16.314;1985.569;674.941;19054.549;1.222;0.454;8.753;5.719;6.291;7.560;172.109;124.199;68.345;8059.831;0;66632.614
17;1447;3.894;6.980;6.627;17.647;1437.922;565.294;12818.784;1.190;0.500;8.878;5.791;6.127;8.769;157.666;105.612;8.329;25356.804;0;0
18;1085;2.911;7.020;6.431;16.392;1074.902;420.608;9605.902;1.030;0.384;8.870;5.990;6.047;7.522;164.693;140.527;7.502;45551.152;20048.119;0.035
19;868;2.329;7.059;6.314;13.569;797.255;270.431;7611.490;0.918;0.305;8.780;6.141;6.009;4.788;142.071;113.629;12.768;38483.988;13310.497;0.047
20;4340;11.662;6.902;17.725;7.216;2024.373;38801.078;4658.314;0.402;8.896;1.344;6.500;8.829;5.871;681.608;201.146;386.138;855514.601;403638.957;87052.161
21;2170;5.832;6.667;16.235;6.863;517.784;18884.431;1815.451;0.374;8.676;1.143;6.292;7.559;5.720;126.037;67.133;172.360;0;64680.532;8153.836
22;1447;3.888;6.510;17.529;6.863;395.176;12648.667;1267.804;0.376;8.759;1.070;6.134;8.770;5.792;110.282;9.493;158.250;0;0;25769.049
